iter	RMSE
142	0.4843090486
143	0.4842906815
144	0.4842645869
145	0.4842400312
146	0.4842157675
147	0.4841821081
148	0.4841686118
149	0.4841422287
150	0.484112715
151	0.4840870367
152	0.4840615069
153	0.4840352941
154	0.4839972528
155	0.4839590072
156	0.4839086667
157	0.483856772
158	0.4838336155
159	0.4838225189
160	0.4837908342
161	0.48377321
162	0.4837512144
163	0.4837266109
164	0.4836908712
165	0.4836690927
166	0.4836168489
167	0.4835993617
168	0.4835654455
169	0.4835435903
170	0.4835238806
171	0.4834981811
172	0.483467208
173	0.4834514336
174	0.4834288828
175	0.4834070865
176	0.4833808532
177	0.4833474567
178	0.4833315703
179	0.4833197999
180	0.4832923476
181	0.4832830184
182	0.4832637592
183	0.4832533357
184	0.4832226753
185	0.4832072033
186	0.4831917079
187	0.4831775314
188	0.4831579948
189	0.4831208465
190	0.4830898253
191	0.4830629412
192	0.4830515836
193	0.483025083
194	0.4830078199
195	0.48299079
196	0.4829733188
197	0.4829504942
198	0.4829236512
199	0.4829023913
200	0.4828892103
201	0.4828530106
202	0.4828335034
203	0.4828088809
204	0.4827989483
205	0.4827790123
206	0.4827695433
207	0.4827568785
208	0.4827262748
209	0.4827038043
210	0.4826795764
211	0.4826496999
212	0.482619621
213	0.4826006205
214	0.4825769596
215	0.4825586194
216	0.4825420829
217	0.4825165333
218	0.4825023471
219	0.4824887559
220	0.4824708807
221	0.482440183
222	0.482424685
223	0.4824131364
224	0.4823911912
225	0.4823766807
226	0.4823618762
227	0.4823497676
228	0.482327136
229	0.4823153366
230	0.4822966997
231	0.482275948
232	0.4822581147
233	0.4822431152
234	0.4822243397
235	0.4822130194
236	0.4821902051
237	0.4821724363
238	0.4821438177
239	0.4821291534
240	0.4821080104
241	0.4820800942
242	0.4820558485
243	0.4820428885
244	0.4820221843
245	0.4819919836
246	0.481969047
247	0.4819400624
248	0.4819304283
249	0.4819203966
250	0.4819047216
251	0.4818803901
252	0.4818567398
253	0.4818347668
254	0.4818033147
255	0.4817882623
256	0.4817741082
257	0.4817579547
258	0.4817469289
259	0.4817240178
260	0.4817094758
261	0.481690864
262	0.4816730968
263	0.4816639827
264	0.4816566747
265	0.481635524
266	0.4816230019
267	0.4816096324
268	0.4815946517
269	0.4815816408
270	0.4815699207
271	0.4815503271
272	0.4815402019
273	0.4815257664
274	0.4814949813
275	0.4814732831
276	0.4814567578
277	0.4814370939
278	0.4814185256
279	0.4814125903
280	0.4813923739
281	0.4813764031
282	0.4813587889
283	0.4813356767
284	0.4813186919
285	0.4813011436
286	0.481279747
287	0.4812744207
288	0.4812625676
289	0.4812508271
290	0.4812382769
291	0.4812302028
292	0.4812011016
293	0.4811936379
294	0.4811739742
295	0.4811572179
296	0.4811442719
297	0.48113217
298	0.4811175775
299	0.4810976439
300	0.4810776802
301	0.4810545745
302	0.4810232543
303	0.4810069877
304	0.4809810427
305	0.4809625181
306	0.4809444195
307	0.4809289975
308	0.480906809
309	0.4808897194
310	0.4808712307
311	0.480858035
312	0.4808317028
313	0.4808114201
314	0.4807824457
315	0.4807532347
316	0.4807335313
317	0.4807166372
318	0.4807002169
319	0.4806917009
320	0.4806739348
321	0.4806586856
322	0.4806417368
323	0.4806331572
324	0.4806075138
325	0.4805864239
326	0.4805649984
327	0.4805451295
328	0.4805129501
329	0.4804882556
330	0.4804754675
331	0.4804582813
332	0.4804378013
333	0.4804153798
334	0.4803959587
335	0.4803878049
336	0.4803697104
337	0.4803568603
338	0.480336537
339	0.4803102826
340	0.4802791594
341	0.4802563851
342	0.4802370878
343	0.4802185103
344	0.4801786093
345	0.480165515
346	0.4801353288
347	0.4801104197
348	0.4800901748
349	0.4800694358
350	0.4800503173
351	0.4800347907
352	0.4800132527
353	0.479998562
354	0.4799890063
355	0.4799758442
356	0.4799580903
357	0.4799398863
358	0.4799304144
359	0.4799173159
360	0.4799008584
361	0.4798863148
362	0.4798627893
363	0.4798428052
364	0.4798346245
365	0.479822759
366	0.4798044213
367	0.4797833343
368	0.479768834
369	0.4797468264
370	0.4797259826
371	0.4797062876
372	0.4796964851
373	0.4796803775
374	0.4796657335
375	0.4796454249
376	0.4796226214
377	0.4796036488
378	0.4795919614
379	0.4795790932
380	0.4795679687
381	0.4795454913
382	0.4795280801
383	0.4795165872
384	0.4794989292
385	0.4794776228
386	0.4794681764
387	0.4794464467
388	0.4794286285
389	0.4794002567
390	0.4793884702
391	0.4793801537
392	0.4793654658
393	0.4793501853
394	0.4793342001
395	0.4793116998
396	0.4792984531
397	0.4792823038
398	0.4792683569
399	0.4792476294
400	0.4792326993
401	0.479221481
402	0.4792017321
403	0.4791886695
404	0.4791622313
405	0.4791362708
406	0.4791141674
407	0.4791057652
408	0.4790935417
409	0.479068954
410	0.4790568945
411	0.479047996
412	0.4790326087
413	0.4790139206
414	0.4789964545
415	0.4789844159
416	0.4789572977
417	0.478940293
418	0.4789282677
419	0.4789115349
420	0.4789038257
421	0.4788845138
422	0.4788721552
423	0.4788535243
424	0.478837378
425	0.4788220178
426	0.4788108714
427	0.4787952203
428	0.4787793206
429	0.4787615201
430	0.4787460044
431	0.478724185
432	0.4787102267
433	0.4786977225
434	0.4786821017
435	0.4786620999
436	0.4786454873
437	0.478635337
438	0.4786253406
439	0.4786122999
440	0.4785963726
441	0.4785738517
442	0.4785562732
443	0.4785342378
444	0.4785151199
445	0.4785068668
446	0.478497702
447	0.4784846348
448	0.4784658269
449	0.4784474426
450	0.4784322409
451	0.4784174446
452	0.4784054954
453	0.4783976424
454	0.4783738852
455	0.478352904
456	0.4783419925
457	0.4783293168
458	0.4783137555
459	0.4782915364
460	0.4782707242
461	0.4782531516
462	0.4782334547
463	0.4782263064
464	0.4782185115
465	0.4782024087
466	0.4781889734
467	0.478169478
468	0.4781520534
469	0.4781432233
470	0.4781279667
471	0.4781167824
472	0.4781005752
473	0.4780932097
474	0.478077764
475	0.4780629661
476	0.4780441547
477	0.4780234342
478	0.4780051745
479	0.4779941564
480	0.4779720264
481	0.4779595965
482	0.4779456169
483	0.4779386068
484	0.477931407
485	0.4779167288
486	0.4779028845
487	0.4778892607
488	0.4778804312
489	0.4778627569
490	0.4778476549
491	0.4778370695
492	0.4778293259
493	0.4778138293
494	0.4777974387
495	0.4777838848
496	0.4777703136
497	0.477755677
498	0.4777289197
499	0.4777187676
